year,city,country,avg_temp
1832,Tashkent,Uzbekistan,9.48
1833,Tashkent,Uzbekistan,9.93
1834,Tashkent,Uzbekistan,9.95
1835,Tashkent,Uzbekistan,9.15
1836,Tashkent,Uzbekistan,9.65
1837,Tashkent,Uzbekistan,9.32
1838,Tashkent,Uzbekistan,9.02
1839,Tashkent,Uzbekistan,9.05
1840,Tashkent,Uzbekistan,9.63
1841,Tashkent,Uzbekistan,9.13
1842,Tashkent,Uzbekistan,10.10
1843,Tashkent,Uzbekistan,10.51
1844,Tashkent,Uzbekistan,9.38
1845,Tashkent,Uzbekistan,9.66
1846,Tashkent,Uzbekistan,10.33
1847,Tashkent,Uzbekistan,9.79
1848,Tashkent,Uzbekistan,9.25
1849,Tashkent,Uzbekistan,9.84
1850,Tashkent,Uzbekistan,9.59
1851,Tashkent,Uzbekistan,9.84
1852,Tashkent,Uzbekistan,9.84
1853,Tashkent,Uzbekistan,9.53
1854,Tashkent,Uzbekistan,10.16
1855,Tashkent,Uzbekistan,10.51
1856,Tashkent,Uzbekistan,10.05
1857,Tashkent,Uzbekistan,9.33
1858,Tashkent,Uzbekistan,9.99
1859,Tashkent,Uzbekistan,10.49
1860,Tashkent,Uzbekistan,9.24
1861,Tashkent,Uzbekistan,9.66
1862,Tashkent,Uzbekistan,9.14
1863,Tashkent,Uzbekistan,10.35
1864,Tashkent,Uzbekistan,9.45
1865,Tashkent,Uzbekistan,9.70
1866,Tashkent,Uzbekistan,9.82
1867,Tashkent,Uzbekistan,10.70
1868,Tashkent,Uzbekistan,9.88
1869,Tashkent,Uzbekistan,9.88
1870,Tashkent,Uzbekistan,10.14
1871,Tashkent,Uzbekistan,9.88
1872,Tashkent,Uzbekistan,10.23
1873,Tashkent,Uzbekistan,10.47
1874,Tashkent,Uzbekistan,10.42
1875,Tashkent,Uzbekistan,10.33
1876,Tashkent,Uzbekistan,9.69
1877,Tashkent,Uzbekistan,9.88
1878,Tashkent,Uzbekistan,10.26
1879,Tashkent,Uzbekistan,10.75
1880,Tashkent,Uzbekistan,10.60
1881,Tashkent,Uzbekistan,10.61
1882,Tashkent,Uzbekistan,9.37
1883,Tashkent,Uzbekistan,9.57
1884,Tashkent,Uzbekistan,9.35
1885,Tashkent,Uzbekistan,9.47
1886,Tashkent,Uzbekistan,8.41
1887,Tashkent,Uzbekistan,9.92
1888,Tashkent,Uzbekistan,11.38
1889,Tashkent,Uzbekistan,9.59
1890,Tashkent,Uzbekistan,9.70
1891,Tashkent,Uzbekistan,9.21
1892,Tashkent,Uzbekistan,10.13
1893,Tashkent,Uzbekistan,10.27
1894,Tashkent,Uzbekistan,9.68
1895,Tashkent,Uzbekistan,10.25
1896,Tashkent,Uzbekistan,10.31
1897,Tashkent,Uzbekistan,9.80
1898,Tashkent,Uzbekistan,8.67
1899,Tashkent,Uzbekistan,11.07
1900,Tashkent,Uzbekistan,9.53
1901,Tashkent,Uzbekistan,9.93
1902,Tashkent,Uzbekistan,10.49
1903,Tashkent,Uzbekistan,8.91
1904,Tashkent,Uzbekistan,9.85
1905,Tashkent,Uzbekistan,9.31
1906,Tashkent,Uzbekistan,10.06
1907,Tashkent,Uzbekistan,9.26
1908,Tashkent,Uzbekistan,9.83
1909,Tashkent,Uzbekistan,10.73
1910,Tashkent,Uzbekistan,10.02
1911,Tashkent,Uzbekistan,9.61
1912,Tashkent,Uzbekistan,10.47
1913,Tashkent,Uzbekistan,10.36
1914,Tashkent,Uzbekistan,11.08
1915,Tashkent,Uzbekistan,11.79
1916,Tashkent,Uzbekistan,9.94
1917,Tashkent,Uzbekistan,11.16
1918,Tashkent,Uzbekistan,9.94
1919,Tashkent,Uzbekistan,9.95
1920,Tashkent,Uzbekistan,8.65
1921,Tashkent,Uzbekistan,9.48
1922,Tashkent,Uzbekistan,11.13
1923,Tashkent,Uzbekistan,10.02
1924,Tashkent,Uzbekistan,10.31
1925,Tashkent,Uzbekistan,10.79
1926,Tashkent,Uzbekistan,10.45
1927,Tashkent,Uzbekistan,10.39
1928,Tashkent,Uzbekistan,9.47
1929,Tashkent,Uzbekistan,9.07
1930,Tashkent,Uzbekistan,9.24
1931,Tashkent,Uzbekistan,9.39
1932,Tashkent,Uzbekistan,9.72
1933,Tashkent,Uzbekistan,10.07
1934,Tashkent,Uzbekistan,8.92
1935,Tashkent,Uzbekistan,9.44
1936,Tashkent,Uzbekistan,10.24
1937,Tashkent,Uzbekistan,9.58
1938,Tashkent,Uzbekistan,10.75
1939,Tashkent,Uzbekistan,10.99
1940,Tashkent,Uzbekistan,11.55
1941,Tashkent,Uzbekistan,11.92
1942,Tashkent,Uzbekistan,10.75
1943,Tashkent,Uzbekistan,9.91
1944,Tashkent,Uzbekistan,11.21
1945,Tashkent,Uzbekistan,9.85
1946,Tashkent,Uzbekistan,10.67
1947,Tashkent,Uzbekistan,11.32
1948,Tashkent,Uzbekistan,10.55
1949,Tashkent,Uzbekistan,9.25
1950,Tashkent,Uzbekistan,9.44
1951,Tashkent,Uzbekistan,9.90
1952,Tashkent,Uzbekistan,10.50
1953,Tashkent,Uzbekistan,10.49
1954,Tashkent,Uzbekistan,9.50
1955,Tashkent,Uzbekistan,11.37
1956,Tashkent,Uzbekistan,10.81
1957,Tashkent,Uzbekistan,9.43
1958,Tashkent,Uzbekistan,10.88
1959,Tashkent,Uzbekistan,10.32
1960,Tashkent,Uzbekistan,10.09
1961,Tashkent,Uzbekistan,11.31
1962,Tashkent,Uzbekistan,10.85
1963,Tashkent,Uzbekistan,11.73
1964,Tashkent,Uzbekistan,9.76
1965,Tashkent,Uzbekistan,11.10
1966,Tashkent,Uzbekistan,11.15
1967,Tashkent,Uzbekistan,10.52
1968,Tashkent,Uzbekistan,10.57
1969,Tashkent,Uzbekistan,9.03
1970,Tashkent,Uzbekistan,11.05
1971,Tashkent,Uzbekistan,11.33
1972,Tashkent,Uzbekistan,8.85
1973,Tashkent,Uzbekistan,10.89
1974,Tashkent,Uzbekistan,9.88
1975,Tashkent,Uzbekistan,10.67
1976,Tashkent,Uzbekistan,10.17
1977,Tashkent,Uzbekistan,10.97
1978,Tashkent,Uzbekistan,10.71
1979,Tashkent,Uzbekistan,10.88
1980,Tashkent,Uzbekistan,11.40
1981,Tashkent,Uzbekistan,11.42
1982,Tashkent,Uzbekistan,10.57
1983,Tashkent,Uzbekistan,11.57
1984,Tashkent,Uzbekistan,9.79
1985,Tashkent,Uzbekistan,10.96
1986,Tashkent,Uzbekistan,11.10
1987,Tashkent,Uzbekistan,10.97
1988,Tashkent,Uzbekistan,11.76
1989,Tashkent,Uzbekistan,10.41
1990,Tashkent,Uzbekistan,11.38
1991,Tashkent,Uzbekistan,10.95
1992,Tashkent,Uzbekistan,10.97
1993,Tashkent,Uzbekistan,10.11
1994,Tashkent,Uzbekistan,10.95
1995,Tashkent,Uzbekistan,11.54
1996,Tashkent,Uzbekistan,10.45
1997,Tashkent,Uzbekistan,11.77
1998,Tashkent,Uzbekistan,11.32
1999,Tashkent,Uzbekistan,11.65
2000,Tashkent,Uzbekistan,11.85
2001,Tashkent,Uzbekistan,11.99
2002,Tashkent,Uzbekistan,11.65
2003,Tashkent,Uzbekistan,11.25
2004,Tashkent,Uzbekistan,12.24
2005,Tashkent,Uzbekistan,11.75
2006,Tashkent,Uzbekistan,11.86
2007,Tashkent,Uzbekistan,11.79
2008,Tashkent,Uzbekistan,11.43
2009,Tashkent,Uzbekistan,11.49
2010,Tashkent,Uzbekistan,11.94
2011,Tashkent,Uzbekistan,11.35
2012,Tashkent,Uzbekistan,10.87
2013,Tashkent,Uzbekistan,13.66
